symbol,entry_date,exit_date,entry_price,exit_price,shares,position_size,pnl,return_pct,exit_reason
TRIDENT,2009-04-16,2009-05-14,0.6635220643466521,0.563993746337985,15071,9999.941031768392,-1499.9912807086203,-15.00000125944104,trail_stop
KIRLOSENG,2009-04-16,2009-05-25,45.23497349221073,63.82270952203011,221,9996.929141778572,4107.889662590083,41.09151524764375,trail_stop
SUNPHARMA,2009-04-16,2009-05-29,106.98710768756095,108.31234073157479,93,9949.801014943168,123.24667309328652,1.2386848029240762,trail_stop
IIFL,2009-04-16,2009-06-17,27.718217917885823,37.91341721543176,360,9978.558450438897,3670.271747116536,36.78158288440053,trail_stop
RELIANCE,2009-04-16,2009-06-17,182.01582540100668,206.82927729670965,54,9828.854571654361,1339.9264023679589,13.632579387553465,trail_stop
AEGISLOG,2009-04-16,2009-06-18,4.751621645456382,4.883304292116411,2104,9997.411942040228,277.0602885727003,2.7713201194364214,trail_stop
APARINDS,2009-04-16,2009-06-18,73.08828316918435,89.86264491363191,136,9940.00651100907,2281.313197244868,22.950821960913164,trail_stop
CUB,2009-04-16,2009-06-18,6.294392888482572,8.380112181058726,1588,9995.495906910324,3312.1222366109323,33.136147195269395,trail_stop
DLF,2009-04-16,2009-06-18,219.94737344611286,275.3604611766582,45,9897.63180507508,2493.5889478745394,25.193793798188512,trail_stop
EIDPARRY,2009-04-16,2009-06-18,70.27410054741918,95.84829327616832,142,9978.922277733524,3631.535367482378,36.392059847841566,trail_stop
ELECON,2009-04-16,2009-06-18,17.139260080382797,28.618582570241557,583,9992.188626863172,6692.445011587657,66.97676816864299,trail_stop
FINCABLES,2009-04-16,2009-06-18,22.461747786578012,26.787715769370525,445,9995.477765027215,1925.0557523426687,19.259267016511913,trail_stop
GMDCLTD,2009-04-16,2009-06-18,39.56953473321384,50.94415953743134,252,9971.522752769888,2866.405450662809,28.745914959343388,trail_stop
GRAPHITE,2009-04-16,2009-06-18,20.881898067167537,23.637147910024574,478,9981.547276106083,1317.009424885664,13.194441587611703,trail_stop
SRF,2009-04-16,2009-06-18,13.398148864588904,14.711833130723917,746,9995.019052983323,980.0084625367181,9.80496842819128,trail_stop
ANANTRAJ,2009-04-16,2009-06-19,27.067938090069102,35.36877436919457,369,9988.069155235498,3063.0085869972972,30.666673802431017,trail_stop
ABREL,2009-04-16,2009-06-22,211.87627778012276,319.30281600146174,47,9958.18505566577,5049.047296402932,50.702485123333254,trail_stop
BSOFT,2009-04-16,2009-06-22,9.554876960769857,10.762690509067445,1046,9994.40130096527,1263.3729715192785,12.640806922544332,trail_stop
GALLANTT,2009-04-16,2009-06-22,13.866441647925374,15.046563418297708,721,9997.704428154195,850.8677964384533,8.510631641023048,trail_stop
SAREGAMA,2009-04-16,2009-06-22,6.133127620250938,6.690293788909912,1630,9996.998021009029,908.1808549141278,9.084535707674995,trail_stop
TECHNOE,2009-04-16,2009-06-22,88.40298754274063,108.83293546245227,113,9989.53759232969,2308.5841149274165,23.110019794109654,trail_stop
BRIGADE,2009-04-16,2009-06-23,22.800513702222084,30.74988439649556,438,9986.625001573273,3481.8243640917826,34.86487540628854,trail_stop
ITI,2009-04-16,2009-06-23,28.799999237060547,37.29999923706055,347,9993.59973526001,2949.5,29.513889670739964,trail_stop
JMFINANCIL,2009-04-16,2009-06-23,18.794480267693014,29.53417793272518,532,9998.663502412684,5713.519157797111,57.14282870324053,trail_stop
KOTAKBANK,2009-04-16,2009-06-23,21.59150176498365,29.458649228803175,463,9996.86531718743,3642.4892757484395,36.436314386330416,trail_stop
TIMKEN,2009-04-16,2009-06-23,62.11828212183877,66.31326855712469,160,9938.925139494202,671.1978296457473,6.753223514870996,trail_stop
BHARATFORG,2009-04-16,2009-06-24,59.03502582506096,65.83509222965861,169,9976.919364435304,1149.2112223770018,11.518698111098221,trail_stop
ESCORTS,2009-04-16,2009-06-25,43.31185518338334,50.74924439160147,230,9961.726692178167,1710.5995178901721,17.171717020035445,trail_stop
TMPV,2009-04-16,2009-06-29,50.69945525471558,56.05590454184468,197,9987.792685178969,1055.220509564433,10.565102248570799,trail_stop
BBTC,2009-04-16,2009-06-30,35.95900299500147,47.04412241722864,278,9996.602832610408,3081.6631993791543,30.827104477196094,trail_stop
IDEA,2009-04-16,2009-06-30,34.43139813481589,42.47528591141976,290,9985.105459096609,2332.727455215121,23.36207128478513,trail_stop
HINDALCO,2009-04-16,2009-07-06,55.901973623543334,69.32366143684439,178,9950.551304990713,2389.0604307675876,24.009327297969417,trail_stop
MRPL,2009-04-16,2009-07-06,43.55693167807062,62.470844195266885,229,9974.53735427817,4331.285966437947,43.423427198658175,trail_stop
RPOWER,2009-04-16,2009-07-06,126.42436872054091,162.13275675814137,79,9987.525128922733,2820.9626549704353,28.244861650472842,trail_stop
ADANIPORTS,2009-05-15,2009-07-06,84.42184493709682,99.48029257693638,120,10130.621392451618,1807.013716780748,17.837145884527516,trail_stop
AARTIIND,2009-05-26,2009-07-06,7.991390171106757,6.45927242035918,1719,13737.199704132516,-2633.7104135350855,-19.17210545277867,trail_stop
NMDC,2009-04-16,2009-07-07,20.540736323274892,27.68532999967654,486,9982.797853111597,3472.2725267312017,34.78255873576473,trail_stop
BANKBARODA,2009-04-16,2009-07-08,40.80401123607016,56.50415445674963,245,9996.98275283719,3846.5350890664704,38.47696034060683,trail_stop
ECLERX,2009-04-16,2009-07-08,21.68736457824707,32.48386923763623,461,9997.8750705719,4977.188647978401,49.78246490225142,trail_stop
HCLTECH,2009-04-16,2009-07-08,21.621936679461438,27.093879625371525,462,9989.334745911185,2528.03764101046,25.30736736042639,trail_stop
IDBI,2009-04-16,2009-07-08,47.941759418208655,74.16462212620117,208,9971.885958987401,5454.355443262442,54.69733073257396,trail_stop
IFCI,2009-04-16,2009-07-08,20.66451066725001,35.28185012855151,483,9980.958652281755,7060.174959808624,70.73644131563046,trail_stop
JSL,2009-04-16,2009-07-08,56.04855084471423,68.4382237635819,178,9976.642050359133,2205.361779558447,22.105251129853453,trail_stop
KEI,2009-04-16,2009-07-08,13.883553873704109,21.047570802563,720,9996.158789066958,5158.0921887784025,51.600742821531945,trail_stop
PETRONET,2009-04-16,2009-07-08,15.423643798951405,19.196970511887667,648,9994.52118172051,2445.115709982698,24.464560788111537,trail_stop
SBIN,2009-04-16,2009-07-08,103.83882090833515,128.22691737737367,96,9968.526807200175,2341.2572610276984,23.48649209968147,trail_stop
SIEMENS,2009-04-16,2009-07-08,150.16661970145867,208.25674820858336,66,9910.996900296272,3833.94848147023,38.68378246950739,trail_stop
SUZLON,2009-04-16,2009-07-08,63.81586837768555,80.80282592773438,156,9955.275466918945,2649.965377807617,26.618704691933093,trail_stop
TATASTEEL,2009-04-16,2009-07-08,17.956843772388865,22.55853945855632,556,9984.005137448208,2558.5428015091074,25.626417117039267,trail_stop
LT,2009-04-16,2009-07-09,315.814196302471,491.2664464445111,31,9790.2400853766,5439.0197544032435,55.55552986414859,trail_stop
CEMPRO,2009-04-16,2009-07-10,10.778673674005377,12.681620597839355,927,9991.830495802984,1764.0317983940986,17.65474103203683,trail_stop
